Region,Product,Units,UnitPrice,Revenue
Central,Widget A,69,12.88,888.72
Central,Widget B,24,19.99,479.76
North,Widget C,85,13.62,1157.7
East,Gadget X,80,11.28,902.4
North,Gadget X,62,49.13,3046.06
South,Widget D,21,20.72,435.12
North,Widget A,74,10.21,755.54
East,Widget A,15,24.64,369.6
West,Widget A,53,30.46,1614.38
East,Gadget X,37,41.58,1538.46
East,Widget A,29,21.82,632.78
West,Widget C,24,20.17,484.08
East,Widget D,34,26.12,888.08
North,Gadget X,60,18.48,1108.8
South,Widget C,16,37.24,595.84
South,Widget D,22,29.35,645.7
East,Widget B,22,46.62,1025.64
East,Widget C,30,21.33,639.9
West,Gadget X,83,18.57,1541.31
West,Widget C,51,35.82,1826.82
South,Widget B,36,20.76,747.36
North,Gadget X,17,41.5,705.5
Central,Widget B,59,37.95,2239.05
South,Gadget X,23,33.32,766.36
Central,Widget C,10,25.07,250.7
East,Widget C,40,37.42,1496.8
South,Gadget X,59,17.14,1011.26
East,Widget A,46,29.46,1355.16
North,Gadget X,44,17.62,775.28
Central,Widget A,83,40.4,3353.2
Central,Widget B,2,37.83,75.66
Central,Widget B,94,29.46,2769.24
West,Gadget X,100,49.02,4902.0
North,Widget D,5,43.44,217.2
North,Gadget X,65,17.52,1138.8
West,Widget A,74,46.1,3411.4
West,Widget C,56,46.6,2609.6
South,Widget C,33,14.54,479.82
North,Widget A,73,30.8,2248.4
Central,Widget B,49,31.74,1555.26
North,Widget A,16,13.17,210.72
North,Gadget X,71,49.58,3520.18
North,Widget C,11,27.51,302.61
Central,Widget A,96,36.63,3516.48
West,Widget A,19,18.78,356.82
North,Gadget X,25,33.42,835.5
West,Widget C,4,33.87,135.48
Central,Widget D,97,15.22,1476.34
Central,Widget A,7,34.14,238.98
East,Widget C,13,19.86,258.18
West,Widget D,2,41.32,82.64
Central,Widget A,1,29.34,29.34
North,Widget D,11,24.67,271.37
Central,Widget D,93,27.31,2539.83
South,Widget D,27,15.35,414.45
East,Gadget X,74,37.4,2767.6
Central,Widget B,4,38.99,155.96
East,Widget C,21,11.19,234.99
South,Widget B,27,27.0,729.0
Central,Widget A,9,11.09,99.81
North,Widget D,47,16.01,752.47
North,Gadget X,21,30.39,638.19
Central,Widget A,93,37.11,3451.23
North,Widget A,27,41.41,1118.07
South,Widget D,38,46.47,1765.86
South,Widget A,38,31.85,1210.3
West,Widget D,58,47.08,2730.64
East,Widget A,37,38.31,1417.47
East,Widget B,37,29.73,1100.01
East,Widget A,5,25.71,128.55
West,Gadget X,53,35.82,1898.46
South,Widget D,65,32.06,2083.9
South,Widget D,76,11.49,873.24
Central,Widget D,100,36.28,3628.0
North,Widget C,75,38.64,2898.0
East,Gadget X,36,13.39,482.04
South,Widget D,24,19.64,471.36
North,Widget D,83,32.56,2702.48
East,Widget B,61,48.65,2967.65
North,Widget D,19,16.03,304.57
West,Widget D,100,11.78,1178.0
East,Widget D,51,33.7,1718.7
East,Widget D,56,27.0,1512.0
North,Widget B,46,37.34,1717.64
West,Widget A,42,36.97,1552.74
South,Gadget X,30,14.45,433.5
North,Gadget X,42,25.63,1076.46
Central,Widget C,69,17.75,1224.75
West,Widget D,78,48.22,3761.16
South,Gadget X,10,41.01,410.1
East,Gadget X,71,15.97,1133.87
North,Widget D,76,31.4,2386.4
North,Widget C,87,34.19,2974.53
East,Widget B,13,11.81,153.53
North,Widget A,40,47.82,1912.8
North,Widget A,81,32.26,2613.06
North,Widget A,53,20.33,1077.49
Central,Widget A,97,43.95,4263.15
Central,Widget D,57,16.34,931.38
North,Widget A,20,25.58,511.6
East,Widget C,26,45.84,1191.84
West,Widget B,41,42.4,1738.4
South,Widget D,93,46.93,4364.49
Central,Widget B,66,37.25,2458.5
West,Widget A,67,39.38,2638.46
South,Widget A,12,19.82,237.84
Central,Widget B,33,10.32,340.56
North,Widget A,17,15.53,264.01
Central,Widget C,73,17.09,1247.57
North,Gadget X,78,38.25,2983.5
West,Widget A,70,35.83,2508.1
South,Widget A,29,14.99,434.71
West,Widget D,10,22.28,222.8
East,Widget A,48,27.71,1330.08
East,Widget B,85,24.89,2115.65
North,Widget C,58,46.14,2676.12
South,Widget C,23,29.46,677.58
East,Widget A,88,30.08,2647.04
East,Widget C,78,20.31,1584.18
Central,Widget C,83,36.73,3048.59
South,Widget A,97,21.15,2051.55
North,Widget C,6,40.01,240.06
Central,Widget A,3,45.77,137.31
Central,Widget B,67,49.69,3329.23
West,Widget B,35,27.58,965.3
West,Widget C,48,36.52,1752.96
East,Widget A,63,13.77,867.51
East,Widget D,100,35.45,3545.0
Central,Widget B,76,41.76,3173.76
East,Widget C,79,45.12,3564.48
South,Widget B,88,27.54,2423.52
North,Widget B,72,30.81,2218.32
North,Widget B,57,35.72,2036.04
West,Gadget X,36,34.97,1258.92
East,Gadget X,93,19.78,1839.54
East,Widget A,53,22.2,1176.6
East,Gadget X,99,15.62,1546.38
Central,Gadget X,71,36.78,2611.38
East,Widget C,78,24.98,1948.44
Central,Gadget X,74,23.34,1727.16
South,Widget B,11,41.39,455.29
North,Widget B,17,37.24,633.08
Central,Widget C,37,14.1,521.7
Central,Widget C,92,12.97,1193.24
South,Widget C,39,24.13,941.07
South,Widget B,23,28.46,654.58
Central,Widget B,89,29.09,2589.01
East,Widget A,66,15.49,1022.34
North,Widget A,33,31.59,1042.47
Central,Widget D,78,41.29,3220.62
West,Widget D,10,25.81,258.1
East,Gadget X,11,21.93,241.23
South,Widget C,96,15.18,1457.28
West,Gadget X,8,14.03,112.24
North,Widget C,23,17.27,397.21
South,Widget B,80,34.82,2785.6
West,Widget D,27,13.36,360.72
South,Widget A,21,44.5,934.5
Central,Widget A,23,10.95,251.85
West,Widget B,28,11.7,327.6
East,Widget C,2,40.37,80.74
South,Widget D,98,35.88,3516.24
Central,Widget B,55,40.81,2244.55
Central,Widget D,41,40.85,1674.85
North,Widget B,23,47.54,1093.42
Central,Widget C,69,33.97,2343.93
South,Gadget X,39,42.5,1657.5
East,Widget A,34,21.17,719.78
South,Widget A,69,17.62,1215.78
East,Gadget X,72,46.34,3336.48
Central,Widget A,81,12.85,1040.85
North,Widget A,52,36.5,1898.0
East,Widget B,100,28.35,2835.0
East,Widget C,12,23.13,277.56
North,Widget C,32,39.71,1270.72
West,Widget C,3,44.36,133.08
West,Widget D,8,36.7,293.6
North,Widget A,61,27.0,1647.0
South,Widget A,91,21.06,1916.46
West,Gadget X,27,29.49,796.23
North,Widget C,78,14.52,1132.56
South,Widget D,80,26.84,2147.2
West,Widget D,17,43.52,739.84
South,Widget D,50,38.98,1949.0
East,Widget D,16,12.83,205.28
North,Widget A,77,46.03,3544.31
West,Widget C,94,21.61,2031.34
North,Widget D,95,25.65,2436.75
East,Gadget X,7,25.34,177.38
East,Gadget X,87,24.51,2132.37
North,Widget B,6,38.33,229.98
East,Widget C,55,34.35,1889.25
North,Widget B,78,42.91,3346.98
South,Widget B,88,29.03,2554.64
South,Widget A,61,10.17,620.37
Central,Gadget X,27,48.13,1299.51
West,Widget A,66,20.44,1349.04
North,Gadget X,40,39.15,1566.0
East,Widget A,52,19.03,989.56
West,Widget D,44,10.36,455.84
North,Widget B,50,15.25,762.5
Central,Gadget X,14,41.47,580.58
East,Widget B,71,46.66,3312.86
East,Widget D,44,46.42,2042.48
West,Widget C,92,28.83,2652.36
South,Gadget X,63,15.09,950.67
North,Widget D,96,48.85,4689.6
Central,Gadget X,10,25.55,255.5
West,Widget A,90,20.51,1845.9
East,Widget B,47,45.45,2136.15
Central,Widget C,45,15.93,716.85
South,Widget B,51,46.95,2394.45
East,Widget D,33,41.87,1381.71
East,Widget D,10,24.39,243.9
Central,Gadget X,54,41.45,2238.3
West,Widget B,99,45.45,4499.55
West,Widget A,27,31.9,861.3
South,Widget C,58,30.23,1753.34
Central,Widget A,55,41.37,2275.35
North,Widget B,68,33.77,2296.36
West,Gadget X,20,45.37,907.4
South,Widget D,39,19.68,767.52
Central,Widget D,13,40.16,522.08
Central,Gadget X,95,44.58,4235.1
South,Widget B,55,23.46,1290.3
South,Widget B,30,20.74,622.2
East,Widget D,79,17.84,1409.36
South,Widget C,29,18.85,546.65
East,Widget D,12,47.52,570.24
North,Widget A,73,25.57,1866.61
North,Widget A,94,20.19,1897.86
West,Widget C,7,24.53,171.71
South,Widget A,98,13.42,1315.16
Central,Widget A,68,27.62,1878.16
East,Widget A,53,47.49,2516.97
North,Gadget X,7,48.98,342.86
West,Widget D,28,14.22,398.16
East,Widget A,10,39.59,395.9
Central,Widget C,91,41.79,3802.89
South,Widget A,67,40.81,2734.27
South,Widget B,80,24.57,1965.6
East,Gadget X,52,32.6,1695.2
Central,Widget D,90,40.9,3681.0
South,Widget B,57,29.01,1653.57
East,Widget C,23,41.27,949.21
North,Gadget X,51,44.12,2250.12
Central,Widget A,45,44.94,2022.3
West,Widget D,3,37.32,111.96
South,Widget C,15,41.99,629.85
Central,Widget D,52,23.64,1229.28
East,Widget B,35,24.16,845.6
Central,Gadget X,42,27.82,1168.44
Central,Widget D,52,13.61,707.72
Central,Widget A,28,42.25,1183.0
West,Widget C,4,32.68,130.72
Central,Widget C,79,47.68,3766.72
North,Widget B,8,35.45,283.6
Central,Widget D,80,22.74,1819.2
East,Gadget X,23,13.31,306.13
North,Widget C,59,23.12,1364.08
North,Widget A,58,47.79,2771.82
South,Widget B,62,29.62,1836.44
Central,Widget A,27,22.72,613.44
Central,Widget B,96,21.99,2111.04
West,Gadget X,66,34.45,2273.7
Central,Widget B,91,16.48,1499.68
North,Widget C,55,39.42,2168.1
North,Widget A,10,33.4,334.0
South,Widget A,92,43.1,3965.2
South,Widget C,89,27.46,2443.94
North,Widget D,38,36.5,1387.0
East,Widget D,35,22.91,801.85
East,Widget D,78,16.57,1292.46
South,Widget C,37,17.65,653.05
West,Gadget X,95,41.11,3905.45
Central,Widget D,19,16.83,319.77
South,Widget B,30,26.4,792.0
Central,Gadget X,53,39.44,2090.32
Central,Gadget X,57,27.92,1591.44
North,Widget B,67,17.61,1179.87
Central,Widget A,26,28.62,744.12
Central,Widget C,69,11.54,796.26
North,Widget A,16,18.1,289.6
North,Widget A,93,36.89,3430.77
North,Widget B,8,48.03,384.24
North,Widget B,38,24.33,924.54
East,Widget C,37,22.95,849.15
East,Widget D,2,12.49,24.98
East,Widget D,20,30.78,615.6
East,Gadget X,44,24.81,1091.64
East,Widget A,43,24.69,1061.67
East,Gadget X,9,34.61,311.49
North,Widget C,84,38.02,3193.68
South,Widget B,2,31.65,63.3
East,Widget C,25,30.9,772.5
North,Widget C,1,49.71,49.71
East,Gadget X,87,46.31,4028.97
South,Widget B,4,28.07,112.28
Central,Widget C,5,32.52,162.6
South,Widget B,98,40.78,3996.44
North,Widget A,28,14.4,403.2
North,Widget B,64,49.83,3189.12
North,Widget C,91,28.42,2586.22
Central,Widget D,60,47.31,2838.6
Central,Widget A,41,47.4,1943.4
East,Widget A,85,21.12,1795.2
West,Widget B,91,42.35,3853.85
North,Widget C,50,39.54,1977.0
South,Widget A,15,40.62,609.3
South,Widget B,1,29.67,29.67
South,Widget B,10,15.32,153.2
West,Widget D,36,39.58,1424.88
East,Widget C,54,32.84,1773.36
North,Widget B,65,12.84,834.6
East,Gadget X,24,11.79,282.96
South,Widget A,84,43.85,3683.4
West,Widget D,85,24.73,2102.05
North,Widget B,84,45.45,3817.8
North,Gadget X,58,49.88,2893.04
South,Widget A,94,33.23,3123.62
West,Widget A,4,28.01,112.04
Central,Widget D,43,10.62,456.66
South,Gadget X,65,39.78,2585.7
East,Widget A,46,42.14,1938.44
West,Widget A,82,10.3,844.6
North,Widget C,89,39.42,3508.38
Central,Widget A,80,26.46,2116.8
South,Gadget X,58,12.52,726.16
Central,Widget D,41,27.77,1138.57
Central,Widget C,49,33.82,1657.18
West,Widget B,78,16.09,1255.02
Central,Widget D,4,17.43,69.72
South,Widget B,58,15.48,897.84
West,Widget B,53,41.72,2211.16
North,Widget D,39,25.14,980.46
East,Widget D,94,43.15,4056.1
South,Widget D,83,27.83,2309.89
South,Gadget X,30,46.88,1406.4
West,Gadget X,40,17.81,712.4
Central,Widget D,21,44.16,927.36
East,Gadget X,34,44.44,1510.96
South,Widget B,22,34.48,758.56
Central,Gadget X,94,42.29,3975.26
Central,Gadget X,48,38.55,1850.4
West,Gadget X,16,28.24,451.84
North,Gadget X,9,41.87,376.83
West,Widget A,82,27.84,2282.88
West,Widget A,71,42.92,3047.32
South,Widget D,94,13.23,1243.62
North,Widget D,21,29.57,620.97
North,Widget D,51,23.2,1183.2
North,Widget C,22,21.44,471.68
Central,Widget C,14,34.04,476.56
Central,Widget C,14,11.02,154.28
West,Widget C,50,15.59,779.5
West,Widget A,86,29.05,2498.3
South,Widget A,54,23.09,1246.86
North,Gadget X,63,25.38,1598.94
South,Widget C,84,34.97,2937.48
Central,Widget B,35,47.63,1667.05
South,Widget C,82,46.74,3832.68
South,Widget C,35,49.46,1731.1
North,Widget D,62,21.52,1334.24
Central,Widget C,69,27.42,1891.98
West,Widget B,22,36.45,801.9
South,Widget A,29,41.01,1189.29
South,Widget B,52,30.56,1589.12
North,Widget D,89,32.32,2876.48
West,Gadget X,95,39.71,3772.45
East,Widget D,59,46.54,2745.86
North,Widget B,34,23.65,804.1
South,Widget D,20,35.44,708.8
South,Widget A,30,26.64,799.2
South,Widget A,40,13.28,531.2
South,Gadget X,66,34.64,2286.24
North,Widget D,85,37.65,3200.25
East,Widget D,2,37.84,75.68
North,Gadget X,38,13.75,522.5
East,Widget B,66,15.36,1013.76
Central,Widget B,68,21.59,1468.12
Central,Widget B,28,23.08,646.24
South,Widget C,7,18.62,130.34
West,Widget A,57,17.32,987.24
West,Widget D,82,17.79,1458.78
East,Gadget X,75,38.24,2868.0
North,Widget D,44,23.45,1031.8
Central,Widget B,71,41.55,2950.05
West,Widget B,85,20.11,1709.35
North,Widget D,55,17.64,970.2
Central,Widget A,6,44.49,266.94
East,Widget C,21,39.22,823.62
North,Widget D,36,42.78,1540.08
Central,Gadget X,4,43.44,173.76
North,Widget D,15,28.06,420.9
North,Widget B,22,13.73,302.06
North,Widget D,14,10.38,145.32
South,Widget D,74,25.14,1860.36
South,Widget B,52,46.72,2429.44
Central,Widget C,40,40.96,1638.4
Central,Widget A,54,21.9,1182.6
South,Widget B,25,40.12,1003.0
East,Widget C,56,36.26,2030.56
Central,Gadget X,47,15.88,746.36
West,Gadget X,84,36.31,3050.04
North,Widget D,89,15.4,1370.6
Central,Widget B,37,42.67,1578.79
East,Widget A,60,19.26,1155.6
Central,Gadget X,20,12.05,241.0
North,Widget D,27,37.95,1024.65
Central,Widget C,39,10.12,394.68
North,Widget A,91,14.2,1292.2
South,Widget B,46,35.42,1629.32
West,Gadget X,82,45.28,3712.96
West,Widget D,90,28.67,2580.3
North,Widget C,22,26.86,590.92
South,Widget A,42,42.68,1792.56
East,Widget D,6,46.31,277.86
West,Widget C,93,47.36,4404.48
Central,Widget D,30,18.3,549.0
Central,Widget B,23,45.58,1048.34
East,Widget D,70,33.35,2334.5
South,Widget B,95,36.33,3451.35
East,Widget C,89,46.17,4109.13
West,Widget A,58,21.11,1224.38
West,Widget D,31,48.32,1497.92
West,Widget B,62,13.57,841.34
East,Gadget X,59,20.67,1219.53
West,Gadget X,61,10.38,633.18
North,Widget B,43,18.69,803.67
East,Widget D,91,44.9,4085.9
North,Gadget X,13,25.54,332.02
East,Widget B,67,12.25,820.75
Central,Widget D,14,28.43,398.02
West,Widget A,53,45.3,2400.9
South,Widget B,71,43.89,3116.19
North,Widget D,63,33.65,2119.95
Central,Widget C,83,20.6,1709.8
South,Gadget X,39,29.48,1149.72
North,Widget B,77,22.21,1710.17
West,Widget C,68,48.58,3303.44
Central,Gadget X,99,18.09,1790.91
Central,Gadget X,88,21.25,1870.0
East,Widget B,100,22.58,2258.0
East,Gadget X,34,20.71,704.14
North,Widget C,65,39.31,2555.15
West,Widget B,10,35.12,351.2
East,Widget B,81,37.58,3043.98
West,Widget A,93,17.24,1603.32
Central,Widget C,55,31.95,1757.25
East,Widget C,81,12.16,984.96
East,Widget C,97,40.6,3938.2
West,Widget B,95,34.94,3319.3
South,Gadget X,77,37.75,2906.75
East,Gadget X,88,41.86,3683.68
Central,Widget D,54,49.99,2699.46
East,Gadget X,97,37.18,3606.46
East,Gadget X,6,40.11,240.66
South,Gadget X,14,45.17,632.38
North,Widget D,58,22.86,1325.88
North,Widget A,87,43.71,3802.77
Central,Gadget X,54,25.69,1387.26
East,Widget C,39,13.99,545.61
East,Widget A,2,12.46,24.92
Central,Widget B,88,48.24,4245.12
South,Gadget X,78,38.96,3038.88
South,Widget B,41,23.35,957.35
Central,Widget C,84,16.32,1370.88
South,Widget A,64,37.84,2421.76
East,Gadget X,42,36.74,1543.08
Central,Widget B,59,17.2,1014.8
Central,Widget A,56,26.58,1488.48
North,Widget C,91,24.9,2265.9
South,Gadget X,87,44.34,3857.58
East,Widget B,62,43.23,2680.26
West,Gadget X,83,42.7,3544.1
South,Widget D,72,11.06,796.32
Central,Widget A,23,23.53,541.19
West,Gadget X,21,49.28,1034.88
East,Widget B,15,38.72,580.8
East,Widget A,71,43.49,3087.79
North,Gadget X,32,16.27,520.64
East,Gadget X,12,29.67,356.04
West,Gadget X,53,16.63,881.39
East,Gadget X,29,40.14,1164.06
South,Widget A,2,47.43,94.86
North,Widget C,51,30.34,1547.34
East,Widget C,27,49.9,1347.3
South,Widget A,86,31.18,2681.48
North,Widget C,37,28.23,1044.51
East,Widget C,13,38.0,494.0
East,Widget A,99,35.52,3516.48
South,Widget C,26,46.27,1203.02
West,Widget D,87,49.69,4323.03
Central,Widget A,24,16.12,386.88
North,Widget B,51,39.74,2026.74
South,Widget B,20,42.79,855.8
North,Widget C,2,43.08,86.16
North,Widget A,74,19.52,1444.48
East,Gadget X,86,26.27,2259.22
North,Widget C,50,49.26,2463.0
East,Widget A,2,17.67,35.34
Central,Widget C,69,19.3,1331.7
South,Gadget X,26,39.39,1024.14
South,Widget B,32,31.86,1019.52
South,Widget D,41,36.47,1495.27
South,Widget D,82,29.44,2414.08
Central,Widget A,69,34.01,2346.69
Central,Widget D,86,23.96,2060.56
South,Widget B,12,39.46,473.52
West,Widget C,44,43.9,1931.6
Central,Gadget X,40,24.13,965.2
North,Gadget X,76,37.79,2872.04
North,Widget C,31,12.31,381.61
North,Widget C,27,25.0,675.0
West,Widget B,30,32.47,974.1
North,Widget B,27,15.94,430.38
North,Widget D,79,35.29,2787.91
South,Widget D,12,21.86,262.32
West,Widget D,70,49.03,3432.1
Central,Widget D,28,30.03,840.84
West,Widget C,84,25.2,2116.8
West,Widget C,90,12.34,1110.6
West,Widget D,93,41.52,3861.36
East,Widget B,14,25.17,352.38
North,Widget D,74,48.5,3589.0
North,Widget D,19,12.59,239.21
South,Gadget X,34,31.76,1079.84
North,Widget D,54,11.89,642.06
East,Widget B,4,24.09,96.36
Central,Widget B,44,35.82,1576.08
East,Gadget X,87,42.66,3711.42
Central,Gadget X,95,38.43,3650.85
West,Widget A,71,39.51,2805.21
West,Widget B,92,23.59,2170.28
Central,Gadget X,58,29.25,1696.5
North,Gadget X,17,45.53,774.01
West,Gadget X,25,38.97,974.25
South,Widget A,1,42.61,42.61
East,Widget A,56,46.66,2612.96
South,Widget C,79,12.7,1003.3
East,Gadget X,80,18.71,1496.8
West,Widget A,2,37.57,75.14
South,Widget B,98,12.83,1257.34
North,Widget B,46,31.28,1438.88
West,Widget C,57,15.53,885.21
South,Gadget X,73,16.79,1225.67
South,Widget C,84,12.92,1085.28
Central,Gadget X,96,31.5,3024.0
North,Gadget X,64,34.55,2211.2
Central,Widget C,72,48.01,3456.72
West,Widget B,8,11.25,90.0
South,Widget D,44,40.25,1771.0
Central,Widget C,22,36.27,797.94
West,Widget D,3,31.46,94.38
West,Widget B,76,30.72,2334.72
South,Gadget X,21,40.29,846.09
Central,Widget D,97,38.81,3764.57
Central,Gadget X,57,10.51,599.07
West,Widget C,98,36.75,3601.5
South,Widget D,96,31.77,3049.92
Central,Widget D,28,19.03,532.84
West,Widget B,79,13.13,1037.27
North,Widget D,52,45.37,2359.24
North,Widget A,6,29.82,178.92
East,Gadget X,82,27.94,2291.08
South,Widget B,48,20.17,968.16
East,Widget B,53,43.31,2295.43
South,Widget D,95,35.66,3387.7
Central,Gadget X,13,18.64,242.32
West,Widget A,8,38.62,308.96
Central,Widget D,57,23.55,1342.35
Central,Widget C,20,25.4,508.0
East,Widget A,5,18.86,94.3
Central,Gadget X,54,15.38,830.52
North,Widget D,35,40.26,1409.1
West,Gadget X,71,25.73,1826.83
North,Widget C,31,30.43,943.33
Central,Widget A,98,15.69,1537.62
West,Widget B,24,13.74,329.76
Central,Widget D,10,48.8,488.0
North,Widget C,3,19.42,58.26
South,Widget A,36,20.96,754.56
Central,Widget B,20,11.67,233.4
Central,Widget B,50,28.79,1439.5
Central,Widget D,100,38.73,3873.0
Central,Gadget X,97,41.57,4032.29
South,Widget D,47,16.7,784.9
West,Widget C,13,19.16,249.08
South,Widget C,13,33.15,430.95
Central,Widget C,92,11.01,1012.92
East,Widget B,100,48.21,4821.0
East,Widget C,52,31.64,1645.28
North,Widget A,65,49.65,3227.25
South,Widget A,95,32.69,3105.55
South,Widget B,62,38.46,2384.52
East,Gadget X,80,34.47,2757.6
Central,Widget A,87,22.88,1990.56
South,Gadget X,25,40.42,1010.5
East,Widget C,11,29.39,323.29
East,Gadget X,33,41.31,1363.23
West,Widget B,73,18.6,1357.8
North,Widget C,55,29.04,1597.2
West,Widget C,43,29.26,1258.18
East,Widget C,6,28.23,169.38
North,Widget A,5,27.26,136.3
North,Widget C,75,28.53,2139.75
Central,Widget D,16,18.1,289.6
North,Widget B,99,20.48,2027.52
South,Widget C,17,14.09,239.53
Central,Gadget X,15,45.28,679.2
West,Gadget X,18,16.2,291.6
South,Widget C,89,33.99,3025.11
South,Widget B,86,12.36,1062.96
South,Widget A,58,15.28,886.24
North,Widget D,87,14.29,1243.23
East,Gadget X,27,22.76,614.52
South,Widget B,55,45.42,2498.1
West,Widget C,58,23.37,1355.46
East,Widget B,49,29.73,1456.77
Central,Widget D,32,14.7,470.4
South,Widget B,63,47.74,3007.62
South,Widget A,14,20.11,281.54
West,Widget C,96,40.5,3888.0
East,Widget D,66,21.18,1397.88
West,Gadget X,27,28.78,777.06
West,Gadget X,75,41.85,3138.75
West,Widget B,21,30.66,643.86
South,Widget A,65,37.07,2409.55
West,Widget B,53,12.46,660.38
North,Widget B,1,48.29,48.29
East,Widget A,86,48.36,4158.96
South,Widget A,74,17.26,1277.24
Central,Gadget X,75,23.31,1748.25
West,Gadget X,53,49.13,2603.89
South,Widget D,10,18.49,184.9
East,Widget B,14,26.47,370.58
West,Widget B,60,38.53,2311.8
Central,Gadget X,20,11.5,230.0
South,Gadget X,95,45.54,4326.3
West,Widget D,31,24.63,763.53
East,Widget C,91,17.17,1562.47
South,Gadget X,13,43.74,568.62
West,Widget A,64,46.32,2964.48
North,Widget A,73,12.38,903.74
West,Widget B,97,21.94,2128.18
North,Widget D,25,10.93,273.25
Central,Gadget X,94,31.0,2914.0
West,Widget C,14,37.93,531.02
East,Gadget X,68,19.65,1336.2
East,Widget A,24,23.67,568.08
West,Widget B,30,22.16,664.8
West,Widget C,72,17.37,1250.64
West,Widget C,58,46.62,2703.96
South,Widget C,59,35.35,2085.65
North,Widget D,55,33.16,1823.8
South,Widget A,14,30.97,433.58
North,Widget B,82,36.09,2959.38
West,Widget C,26,35.83,931.58
West,Widget C,12,49.34,592.08
North,Widget A,96,34.68,3329.28
South,Widget D,53,11.07,586.71
South,Widget A,43,20.45,879.35
Central,Widget B,65,29.3,1904.5
North,Widget A,77,34.44,2651.88
East,Gadget X,45,34.64,1558.8
South,Gadget X,85,12.47,1059.95
Central,Widget C,2,11.35,22.7
Central,Widget D,23,49.4,1136.2
South,Gadget X,10,34.02,340.2
South,Widget A,85,37.44,3182.4
East,Widget C,6,19.36,116.16
East,Widget D,16,49.45,791.2
Central,Widget B,61,23.13,1410.93
West,Gadget X,90,21.36,1922.4
West,Widget C,10,33.38,333.8
Central,Widget D,55,32.97,1813.35
East,Widget A,57,15.94,908.58
Central,Gadget X,44,30.26,1331.44
Central,Widget B,51,27.68,1411.68
West,Widget A,40,40.35,1614.0
South,Widget A,9,47.39,426.51
West,Widget D,69,28.48,1965.12
East,Widget A,17,31.06,528.02
North,Widget D,63,23.36,1471.68
North,Widget B,19,23.69,450.11
West,Widget C,69,49.61,3423.09
South,Widget A,80,41.54,3323.2
Central,Gadget X,16,16.14,258.24
East,Widget D,11,49.08,539.88
South,Widget A,73,27.85,2033.05
Central,Widget D,78,23.61,1841.58
East,Widget D,15,48.16,722.4
West,Widget B,34,10.55,358.7
West,Widget C,27,42.0,1134.0
West,Widget D,31,28.33,878.23
West,Widget C,20,23.63,472.6
South,Gadget X,67,21.75,1457.25
Central,Gadget X,57,19.14,1090.98
West,Widget C,56,45.43,2544.08
West,Widget A,65,33.51,2178.15
North,Widget D,56,28.35,1587.6
West,Widget B,51,30.26,1543.26
South,Widget A,83,34.39,2854.37
West,Widget D,61,20.02,1221.22
South,Widget D,47,18.11,851.17
South,Widget B,56,44.6,2497.6
West,Widget A,38,47.66,1811.08
South,Widget D,93,19.87,1847.91
West,Widget D,78,48.01,3744.78
Central,Widget D,90,26.76,2408.4
East,Widget C,40,23.31,932.4
North,Widget B,30,14.71,441.3
West,Gadget X,20,24.46,489.2
East,Widget B,84,12.05,1012.2
Central,Widget B,59,27.48,1621.32
North,Widget B,34,42.52,1445.68
South,Gadget X,60,46.78,2806.8
East,Widget C,66,17.85,1178.1
North,Widget D,57,48.93,2789.01
North,Widget D,28,46.36,1298.08
West,Gadget X,22,43.86,964.92
North,Widget B,78,41.73,3254.94
East,Widget A,17,46.94,797.98
North,Widget A,81,33.05,2677.05
North,Widget C,48,24.72,1186.56
West,Gadget X,9,42.09,378.81
South,Widget B,59,13.56,800.04
East,Widget B,96,15.44,1482.24
South,Widget B,30,23.73,711.9
Central,Widget B,7,43.52,304.64
West,Widget B,2,10.68,21.36
South,Gadget X,9,17.38,156.42
South,Widget D,46,21.42,985.32
East,Gadget X,17,29.85,507.45
North,Widget C,29,32.39,939.31
South,Gadget X,65,29.29,1903.85
West,Widget A,85,43.37,3686.45
Central,Widget B,99,30.53,3022.47
North,Widget A,94,29.24,2748.56
East,Widget A,58,20.36,1180.88
Central,Widget C,57,48.27,2751.39
West,Widget D,6,45.21,271.26
North,Widget B,76,11.47,871.72
Central,Widget D,54,39.12,2112.48
North,Widget C,94,27.65,2599.1
North,Widget B,22,26.96,593.12
North,Widget D,15,26.03,390.45
South,Widget C,79,23.22,1834.38
North,Gadget X,87,12.62,1097.94
South,Widget C,49,34.7,1700.3
North,Widget D,73,49.62,3622.26
West,Widget B,26,42.19,1096.94
North,Gadget X,53,13.76,729.28
East,Widget A,77,46.21,3558.17
West,Widget B,79,26.28,2076.12
Central,Widget A,45,22.16,997.2
South,Widget A,52,34.27,1782.04
North,Widget D,29,18.2,527.8
West,Gadget X,87,10.23,890.01
West,Gadget X,55,34.66,1906.3
West,Widget C,13,14.75,191.75
West,Widget B,100,40.02,4002.0
East,Widget D,90,44.25,3982.5
South,Widget A,37,42.28,1564.36
Central,Widget C,49,30.58,1498.42
North,Widget B,84,11.87,997.08
South,Widget B,83,43.71,3627.93
North,Widget C,60,33.28,1996.8
East,Gadget X,66,22.86,1508.76
East,Widget A,60,26.3,1578.0
North,Widget D,84,22.14,1859.76
Central,Widget C,15,35.51,532.65
North,Widget B,70,16.82,1177.4
Central,Widget A,10,28.45,284.5
East,Widget A,6,32.94,197.64
East,Widget C,44,12.84,564.96
